Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
17,1618869798372,19/04/2021 22:03:18,1618869797596,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,colorblind-demo-q-quantised,3
18,1618869798372,19/04/2021 22:03:18,1618869797596,-7,19/04/2021 15:03:17,49397,5,questionnaire-qtq4,,12025469,5ebc5efb55e67d09d5aa98ed,3637579,,complete,,607dfae57bf697364d501ca9,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.128,3440x1440,3440x1329,,Demographic Questionnaire,4,No,END QUESTIONNAIRE,19586
1,1618866815037,19/04/2021 21:13:35,1618866814913,-4,19/04/2021 17:13:34,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1440x788,,Demographic Questionnaire,4,No,BEGIN QUESTIONNAIRE,
2,1618866832274,19/04/2021 21:13:52,1618866832156,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,gender-demo-q,Male
3,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,gender-demo-q-quantised,1
4,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,gender-demo-q-text,
5,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,hand-demo-q,Right
6,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,hand-demo-q-quantised,2
7,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,glasses-demo-q,No
8,1618866832414,19/04/2021 21:13:52,1618866832158,-4,19/04/2021 17:13:52,49397,5,questionnaire-qtq4,,12024831,5daf354ecc21350014f642b5,3637280,,complete,,607deab60dafd922b4cce224,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 89.0.4389.114,1440x900,1425x788,,Demographic Questionnaire,4,No,glasses-demo-q-quantised,2
